구분,대여소명,반납일자,반납건수,,,,
관악구,2178. 서울대학교 정문,201901,207,,,,
관악구,2179. 양녕로 입구,201901,254,,,,
관악구,2180. 신림동주민센터,201901,210,,,,
관악구,2183. 동방1교,201901,1268,,,,
관악구,2184. 구암초등학교 버스정류장,201901,82,,,,
광진구,3500. 군자역2번출구,201901,535,,,,
광진구,3501. 광진구청 앞,201901,552,,,,
광진구,3502. 중곡역 1번출구,201901,269,,,,
광진구,3503. 광진유진스웰,201901,16,,,,
광진구,3504. 원일교회,201901,531,,,,
광진구,3505. 신양초교앞 교차로,201901,257,,,,
광진구,3506. 영동대교 북단,201901,339,,,,
광진구,3507. 어린이회관,201901,298,,,,
광진구,3508. 화양사거리,201901,825,,,,
광진구,3509. 세종사이버대학교,201901,1116,,,,
광진구,3510. 중곡SK아파트앞,201901,194,,,,
광진구,3516. 구의아리수정수센터앞,201901,194,,,,
광진구,3517. 용마사거리,201901,341,,,,
광진구,3518. 군자역 7번출구뒤,201901,710,,,,
광진구,3520. 광진경찰서,201901,729,,,,
광진구,3521. 현대홈타운 뒷길,201901,92,,,,
광진구,3523. 건국대학교 과학관(이과대) 앞,201901,384,,,,
광진구,3524. 세종대학교,201901,167,,,,
광진구,3528. 광진정보도서관,201901,343,,,,
광진구,3529. 어린이대공원정문,201901,211,,,,
광진구,3533. 건대입구역 사거리(롯데백화점),201901,1151,,,,
광진구,3534. 건대입구역 5번출구 뒤,201901,644,,,,
광진구,3535. 중곡사거리(국민은행),201901,354,,,,
광진구,3536. 중앙농협(자양동),201901,367,,,,
광진구,3537. 아차산 휴먼시아 아파트 옆,201901,99,,,,
광진구,3541. 커먼그라운드,201901,560,,,,
광진구,3542. 래미안 구의파크 스위트,201901,368,,,,
광진구,500. 어린이대공원역 3번출구 앞,201901,1071,,,,
광진구,501. 광진구의회 앞,201901,414,,,,
광진구,502. 뚝섬유원지역 1번출구 앞,201901,1525,,,,
